principal component 1,principal component 2,principal component 3
-0.46377896686043063,-3.018659786148356,7.1265428374770785
-0.5179241741574001,-3.762684927557052,8.957016994663215
-0.2699751934872935,-0.02460507155451629,-0.23606632222651774
-0.2699751934873141,-0.024605071554516175,-0.23606632222651897
-0.26997519348731425,-0.02460507155451693,-0.23606632222651747
-0.26997519348731414,-0.024605071554516827,-0.2360663222265174
-0.26997519348731425,-0.024605071554516533,-0.2360663222265179
-0.269975193487293,-0.024605071554516314,-0.23606632222651755
-0.41087041659716295,-0.06317112653727225,-0.6396675103154048
-0.13799078633654005,-0.0378195374396345,-0.43331103503761287
-0.2699751934872989,-0.024605071554516324,-0.23606632222651788
-0.37564188689718525,-0.051995056685736736,-0.5205699341041871
-0.12976728991890912,-0.022971729163996268,-0.23286575440957505
-0.26997519348731386,-0.024605071554516477,-0.23606632222651822
-0.26997519348731386,-0.02460507155451648,-0.23606632222651824
-0.3445634476589899,-0.04393917870596612,-0.4368924011989894
-0.26997519348731386,-0.024605071554516467,-0.23606632222651833
-0.26997519348731386,-0.02460507155451646,-0.23606632222651824
-0.26997519348731386,-0.024605071554516463,-0.23606632222651824
-0.404964579213056,-0.06710137977978971,-0.7014898611375254
-0.37564188689718875,-0.051995056685736826,-0.5205699341041857
-0.26997519348731386,-0.024605071554516463,-0.23606632222651827
-0.27413820150031765,0.18372951741857507,-0.15262027033907172
-0.26997519348731386,-0.024605071554516463,-0.23606632222651827
-0.26997519348731386,-0.024605071554516463,-0.23606632222651827
-0.27685154753439745,0.32153583078421494,-0.09735655781194039
-0.2717179085101254,-0.025053096179442905,-0.24071515479121025
-0.26997519348731386,-0.024605071554516463,-0.23606632222651827
-0.26997519348731386,-0.024605071554516463,-0.23606632222651827
-0.26997519348731386,-0.024605071554516463,-0.23606632222651827
-0.26997519348731386,-0.024605071554516463,-0.23606632222651827
-0.26997519348731386,-0.024605071554516463,-0.23606632222651827
-0.26997519348731386,-0.024605071554516463,-0.23606632222651827
-0.26997519348731386,-0.024605071554516463,-0.23606632222651827
