,Type,Sentiment,andi,applic,billi,cat,council,eilish,file,hen,japanes,john,jpg,lover,melbourn,simnett,straw,tokyo,usd,western,whey,wp
0,News,pos,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,11,0,5,0,0
1,News,neg,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,16,0,5,0,0
2,News,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,News,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,News,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,News,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,News,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,News,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,News,pos,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,27,3,0,0
9,News,pos,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
10,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
12,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,blog,pos,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
17,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,blog,remove,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,blog,pos,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
23,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
24,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,blog,pos,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,blog,pos,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,blog,pos,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,blog,remove,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,blog,pos,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0
51,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,blog,remove,1,0,4,5,2,0,0,0,2,36,0,0,1,0,1,1,0,6,0,0
55,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,blog,neg,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
60,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,blog,remove,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,blog,remove,0,0,0,0,0,0,3,0,1,0,8,0,0,0,0,0,0,0,0,9
63,blog,remove,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,blog,pos,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,blog,remove,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,blog,pos,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
67,blog,pos,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,blog,pos,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,blog,pos,0,0,0,13,0,0,30,0,0,0,4,29,0,0,0,0,0,0,0,50
72,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,blog,pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,blog,pos,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
78,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
79,blog,neg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
80,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,blog,pos,0,0,59,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,blog,remove,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,blog,remove,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
88,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,blog,remove,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
94,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
95,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
96,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
97,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
98,blog,remove,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,blog,pos,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,12,0,5,0,0
100,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,blog,remove,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
105,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,blog,pos,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
111,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,blog,pos,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
118,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
119,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
121,blog,pos,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,blog,pos,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
125,blog,remove,0,0,0,0,0,0,0,0,0,0,0,1,49,0,0,0,0,0,0,0
126,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,blog,remove,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
130,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,blog,remove,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,blog,neg,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
134,blog,remove,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
135,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,blog,pos,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,blog,pos,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,0,14
144,blog,pos,0,0,0,0,0,0,3,0,1,0,14,0,1,0,0,0,0,0,0,29
145,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,blog,pos,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
147,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,blog,pos,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
154,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,blog,pos,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,18,0,3,0,0
157,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,blog,remove,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,10
161,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
162,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165,blog,neg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
166,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
167,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,blog,remove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,blog,pos,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,blog,pos,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
177,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,blog,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,blog,neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,blog,pos,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
